new_main_category,tag,sentiment,term,score,review_count,word_count
Haircare,Packaging,positive,thick,0.018479093,33710,50
Haircare,Packaging,positive,free,0.01819628,33710,50
Haircare,Packaging,positive,purchased,0.018138438,33710,50
Haircare,Packaging,positive,worth,0.018063139,33710,50
Haircare,Packaging,positive,once,0.017494113,33710,50
Haircare,Packaging,positive,scalp,0.017432214,33710,50
Haircare,Packaging,positive,most,0.017229549,33710,50
Haircare,Packaging,positive,week,0.016785763,33710,50
Haircare,Packaging,positive,her,0.014923413,33710,50
Haircare,Packing,negative,damaged,0.148474309,1354,50
Haircare,Packing,negative,broken,0.097600826,1354,50
Haircare,Packing,negative,opened,0.059945958,1354,50
Haircare,Packing,negative,spilled,0.059321355,1354,50
Haircare,Packing,negative,sealed,0.054618218,1354,50
Haircare,Packing,negative,used,0.052868163,1354,50
Haircare,Packing,negative,received,0.046498571,1354,50
Haircare,Packing,negative,inside,0.038439503,1354,50
Haircare,Packing,negative,open,0.036621182,1354,50
Haircare,Packing,negative,delivery,0.035502537,1354,50
Haircare,Packing,negative,plastic,0.03504674,1354,50
Haircare,Packing,negative,smell,0.034921378,1354,50
Haircare,Packing,negative,item,0.034042107,1354,50
Haircare,Packing,negative,package,0.03296757,1354,50
Haircare,Packing,negative,pump,0.030687613,1354,50
Haircare,Packing,negative,empty,0.027311132,1354,50
Haircare,Packing,negative,missing,0.026998374,1354,50
Haircare,Packing,negative,items,0.026909995,1354,50
Haircare,Packing,negative,mess,0.026516307,1354,50
Haircare,Packing,negative,wrapped,0.026404516,1354,50
Haircare,Packing,negative,packaging,0.026201223,1354,50
Haircare,Packing,negative,container,0.025491488,1354,50
Haircare,Packing,negative,bag,0.025432386,1354,50
Haircare,Packing,negative,happy,0.024569316,1354,50
Haircare,Packing,negative,return,0.023124259,1354,50
Haircare,Packing,negative,terrible,0.022165701,1354,50
Haircare,Packing,negative,awful,0.021912794,1354,50
Haircare,Packing,negative,expensive,0.02154559,1354,50
Haircare,Packing,negative,unsealed,0.021237643,1354,50
Haircare,Packing,negative,tape,0.021087492,1354,50
Haircare,Packing,negative,disappointing,0.020752211,1354,50
Haircare,Packing,negative,shipping,0.020685061,1354,50
Haircare,Packing,negative,down,0.020680565,1354,50
Haircare,Packing,negative,little,0.02047191,1354,50
