term,score,new_main_category,tag,review_count,word_count
oil,0.04495852436606315,Skincare,Packaging,159823,50
pump,0.04409236832535477,Skincare,Packaging,159823,50
leaked,0.039619405009788035,Skincare,Packaging,159823,50
little,0.038403081417806774,Skincare,Packaging,159823,50
received,0.03819690917573473,Skincare,Packaging,159823,50
price,0.03411004733959516,Skincare,Packaging,159823,50
works,0.03077226852305938,Skincare,Packaging,159823,50
body,0.029111381958851937,Skincare,Packaging,159823,50
wash,0.026807225227283623,Skincare,Packaging,159823,50
long,0.026523644815997564,Skincare,Packaging,159823,50
leaking,0.02646415106882402,Skincare,Packaging,159823,50
small,0.026190352011993726,Skincare,Packaging,159823,50
different,0.026146771571010988,Skincare,Packaging,159823,50
serum,0.02536872801690833,Skincare,Packaging,159823,50
better,0.025149563716872658,Skincare,Packaging,159823,50
work,0.025072777191423257,Skincare,Packaging,159823,50
last,0.024806333725374795,Skincare,Packaging,159823,50
packaging,0.024768089339046485,Skincare,Packaging,159823,50
broken,0.02378562757366363,Skincare,Packaging,159823,50
lip,0.023581107064284835,Skincare,Packaging,159823,50
order,0.023524756424348776,Skincare,Packaging,159823,50
moisturizing,0.023069536075959053,Skincare,Packaging,159823,50
light,0.022438847468566527,Skincare,Packaging,159823,50
top,0.022211517059093255,Skincare,Packaging,159823,50
purchased,0.02204808566993531,Skincare,Packaging,159823,50
size,0.021924894190171424,Skincare,Packaging,159823,50
definitely,0.021781780271787905,Skincare,Packaging,159823,50
recommend,0.021707008587862765,Skincare,Packaging,159823,50
second,0.02156800131501002,Skincare,Packaging,159823,50
label,0.02114042853339905,Skincare,Packaging,159823,50
tried,0.020929222300647525,Skincare,Packaging,159823,50
lips,0.020712709207047326,Skincare,Packaging,159823,50
moisturizer,0.020567013491656586,Skincare,Packaging,159823,50
plastic,0.020534145444753054,Skincare,Packaging,159823,50
purchase,0.020504990743894655,Skincare,Packaging,159823,50
package,0.02043745685213069,Skincare,Packaging,159823,50
cream,0.02029304082111488,Skincare,Packaging,159823,50
look,0.0194594991623564,Skincare,Packaging,159823,50
amazing,0.019323879241414557,Skincare,Packaging,159823,50
few,0.01892252145518517,Skincare,Packaging,159823,50
need,0.01858282872140824,Skincare,Packaging,159823,50
hand,0.017869833924729253,Skincare,Packaging,159823,50
lot,0.017650061481486463,Skincare,Packaging,159823,50
fragrance,0.017305582511754493,Skincare,Packaging,159823,50
ingredients,0.01614056153384218,Skincare,Packaging,159823,50
natural,0.015942675917332817,Skincare,Packaging,159823,50
delivery,0.10556071197727553,Skincare,Packing,48808,50
damaged,0.06529700062386085,Skincare,Packing,48808,50
soap,0.061246981746119485,Skincare,Packing,48808,50
protection,0.060493431950427744,Skincare,Packing,48808,50
used,0.054996942322737434,Skincare,Packing,48808,50
sealed,0.053106613266237536,Skincare,Packing,48808,50
fast,0.045934871702147335,Skincare,Packing,48808,50
smell,0.042552137851276484,Skincare,Packing,48808,50
received,0.04174831462802881,Skincare,Packing,48808,50
scent,0.0403622928133689,Skincare,Packing,48808,50
opened,0.039779995612470975,Skincare,Packing,48808,50
price,0.03359372185549224,Skincare,Packing,48808,50
wrapped,0.03300765749061102,Skincare,Packing,48808,50
package,0.031469353186980874,Skincare,Packing,48808,50
open,0.031221040324296883,Skincare,Packing,48808,50
broken,0.030404325172023502,Skincare,Packing,48808,50
item,0.030300265162324223,Skincare,Packing,48808,50
packaging,0.03022056148799876,Skincare,Packing,48808,50
little,0.0287422871820845,Skincare,Packing,48808,50
cream,0.028254292934099978,Skincare,Packing,48808,50
